Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2014/11/11 00:00:00;2014/11/11 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;28.7;28.675;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/11 00:00:00;2014/11/11 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;46.5;46.525;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/12 00:00:00;2014/11/12 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;16.6;16.6;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/12 00:00:00;2014/11/12 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;34.9;34.925;µg-m3;92.0;100;92.0;R;1;48.838615;2.412781
2014/11/13 00:00:00;2014/11/13 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;15.9;15.875;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/13 00:00:00;2014/11/13 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;28.6;28.55;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/14 00:00:00;2014/11/14 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;20.1;20.1;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/14 00:00:00;2014/11/14 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;38.7;38.725;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/15 00:00:00;2014/11/15 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;18.9;18.9;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/15 00:00:00;2014/11/15 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;35.8;35.8;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/16 00:00:00;2014/11/16 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;18.3;18.3;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/16 00:00:00;2014/11/16 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;26.3;26.275;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/17 00:00:00;2014/11/17 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;13.6;13.575;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/17 00:00:00;2014/11/17 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;30.0;29.95;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/18 00:00:00;2014/11/18 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.3;21.275;µg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/18 00:00:00;2014/11/18 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;38.7;38.725;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/19 00:00:00;2014/11/19 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;27.3;27.3;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/19 00:00:00;2014/11/19 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;47.0;47.025;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/20 00:00:00;2014/11/20 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.0;21.0;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/20 00:00:00;2014/11/20 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;37.1;37.1;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/21 00:00:00;2014/11/21 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;34.0;33.975;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/21 00:00:00;2014/11/21 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;51.0;50.95;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
2014/11/22 00:00:00;2014/11/22 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Max. journalier moy. hor.;35.2;35.15;µg-m3;100.0;100;100.0;A;1;48.859001;2.351
2014/11/22 00:00:00;2014/11/22 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;55.9;55.85;µg-m3;100.0;100;100.0;A;1;48.838615;2.412781
